sf,geometry,table,col,last_read_cycle,ns,plotted_ns,ratio
10,x8,customer,C2,13555880,8472425.0,8472425,1.00
10,x8,part,C3,19852232,12407645.0,12407645,1.00
10,x8,supplier,C4,14933020,9333137.5,9333137.5,1.00
10,x8,date,C5,12228181,7642613.1,7642613.125,1.00
