sf,geometry,table,col,last_read_cycle,ns,plotted_ns,ratio
1,x16,customer,C2,971000,606875.0,743997.5,0.82
1,x16,part,C3,1574558,984098.8,1076788.75,0.91
1,x16,supplier,C4,849117,530698.1,968215,0.55
