query,cold_published,cold_new,warm_published,warm_new
Q1.1,1.2832412163555311,2.441672885941186,1.1232378478168146,0.9804645156500013
Q1.2,1.1137311296009311,2.3117878334063247,1.1116544653210558,1.1693832970279963
Q1.3,1.1132245402077954,2.7814746654523588,1.092171164940333,1.0242893810237172
Q2.1,7.847191233172147,7.462103052857737,2.258818305077099,2.2261801957921827
Q2.2,9.028974577592342,8.051227548747612,2.089100137230944,2.1124283483182045
Q2.3,6.42618310876644,8.612911308386149,2.0084221337363433,5.159778674041762
Q3.1,3.083350240182182,3.9575725344465345,1.9881704538609755,2.054651593045944
Q3.2,15.699062256634583,12.025740900588037,4.310351005516162,4.544453277038026
Q3.3,5.332847193930057,4.921498271401439,2.37769261624636,4.474857379879382
Q3.4,28.619773122262625,35.30522899995978,27.40946485019935,28.62235375085959
Q4.1,8.111313156384515,8.148313948991854,3.010923415667136,2.6231475933332167
Q4.2,5.924333318519688,10.74262995941101,4.599027679778041,4.924840341211937
Q4.3,23.728827521989817,39.98328864900782,8.791145601823631,15.185645009095884
