figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,1,,ERROR_BIGINT_TO_DATE
