query,run,seconds
Q1.1,1,0.513234
Q1.1,2,0.222545
Q1.1,3,0.220717
Q1.1,4,0.221121
Q1.1,5,0.220526
Q1.2,1,0.446598
Q1.2,2,0.232085
Q1.2,3,0.232859
Q1.2,4,0.231235
Q1.2,5,0.231148
Q1.3,1,0.365048
Q1.3,2,0.232998
Q1.3,3,0.232254
Q1.3,4,0.231769
Q1.3,5,0.233555
Q2.1,1,0.447808
Q2.1,2,0.199718
Q2.1,3,0.198756
Q2.1,4,0.187249
Q2.1,5,0.185478
Q2.2,1,0.356561
Q2.2,2,0.201202
Q2.2,3,0.20182
Q2.2,4,0.186802
Q2.2,5,0.18471
Q2.3,1,0.232992
Q2.3,2,0.13153
Q2.3,3,0.116319
Q2.3,4,0.122338
Q2.3,5,0.115141
Q3.1,1,0.848301
Q3.1,2,0.514502
Q3.1,3,0.514795
Q3.1,4,0.508048
Q3.1,5,0.509554
Q3.2,1,0.446053
Q3.2,2,0.230144
Q3.2,3,0.215711
Q3.2,4,0.215146
Q3.2,5,0.19635
Q3.3,1,0.359807
Q3.3,2,0.140139
Q3.3,3,0.120519
Q3.3,4,0.118489
Q3.3,5,0.116626
Q3.4,1,0.238803
Q3.4,2,0.136007
Q3.4,3,0.116855
Q3.4,4,0.112166
Q3.4,5,0.107422
Q4.1,1,0.766057
Q4.1,2,0.570504
Q4.1,3,0.533471
Q4.1,4,0.522734
Q4.1,5,0.527966
Q4.2,1,0.731479
Q4.2,2,0.473108
Q4.2,3,0.428654
Q4.2,4,0.423701
Q4.2,5,0.42145
Q4.3,1,0.632994
Q4.3,2,0.31454
Q4.3,3,0.253002
Q4.3,4,0.236926
Q4.3,5,0.228093
