query,run,seconds,cpu_time,join_share,peak_note
Q1.1,1,0.673381,,0.40034588657561254,0
Q1.1,2,0.135647,,0.23387714285439293,0
Q1.1,3,0.13335,,0.2329481506023995,0
Q1.1,4,0.13285,,0.23655954701516752,0
Q1.1,5,0.132673,,0.23250374394971396,0
Q1.2,1,0.131036,,0.14366164284150942,0
Q1.2,2,0.130151,,0.1454321329058965,0
Q1.2,3,0.130684,,0.14690728849618845,0
Q1.2,4,0.130066,,0.14501729967261184,0
Q1.2,5,0.131779,,0.14543017464514452,0
Q1.3,1,0.131283,,0.1453754174505221,0
Q1.3,2,0.131758,,0.145941929973656,0
Q1.3,3,0.132794,,0.1465172736023284,0
Q1.3,4,0.13174,,0.1460071699949551,0
Q1.3,5,0.130951,,0.14524998381687745,0
Q2.1,1,0.447833,,0.8771614443230239,0
Q2.1,2,0.162725,,0.8010180785436047,0
Q2.1,3,0.165535,,0.7935216594127977,0
Q2.1,4,0.160773,,0.8085265031567657,0
Q2.1,5,0.149249,,0.8118612116628585,0
Q2.2,1,0.158302,,0.8457359261045976,0
Q2.2,2,0.151408,,0.8454870397779138,0
Q2.2,3,0.149219,,0.8460760660892417,0
Q2.2,4,0.16549,,0.8460286514264961,0
Q2.2,5,0.134403,,0.8439497722172438,0
Q2.3,1,0.117679,,0.804376937670166,0
Q2.3,2,0.114009,,0.8074037586541642,0
Q2.3,3,0.111346,,0.802611932186203,0
Q2.3,4,0.11218,,0.8053054696521776,0
Q2.3,5,0.110426,,0.807029241904434,0
Q3.1,1,0.36925,,0.8024052459290887,0
Q3.1,2,0.378696,,0.7934834627722517,0
Q3.1,3,0.373419,,0.7929761348150549,0
Q3.1,4,0.389471,,0.7952886535371962,0
Q3.1,5,0.375518,,0.7941423911939153,0
Q3.2,1,0.332916,,0.7379847449957571,0
Q3.2,2,0.209255,,0.8392093208746891,0
Q3.2,3,0.223011,,0.833998668630681,0
Q3.2,4,0.157922,,0.8400234946989594,0
Q3.2,5,0.162821,,0.8423790552214748,0
Q3.3,1,0.109239,,0.7939163683226652,0
Q3.3,2,0.123028,,0.8034655028876565,0
Q3.3,3,0.112405,,0.7997361912076316,0
Q3.3,4,0.114852,,0.7940599919863199,0
Q3.3,5,0.105642,,0.794207384777301,0
Q3.4,1,0.112285,,0.7890913950666167,0
Q3.4,2,0.104325,,0.7858471517862411,0
Q3.4,3,0.105556,,0.7817452402318449,0
Q3.4,4,0.103328,,0.7853203733476214,0
Q3.4,5,0.10994,,0.7793922496962319,0
Q4.1,1,0.430606,,0.8738847280049743,0
Q4.1,2,0.374876,,0.8620458718515117,0
Q4.1,3,0.345752,,0.8634479405619008,0
Q4.1,4,0.359631,,0.8617264989583997,0
Q4.1,5,0.337365,,0.8604811467203357,0
Q4.2,1,0.316377,,0.8479256084624608,0
Q4.2,2,0.288848,,0.8464047751186623,0
Q4.2,3,0.317374,,0.8475201268831449,0
Q4.2,4,0.298094,,0.8480630588867037,0
Q4.2,5,0.301696,,0.8502340659287596,0
Q4.3,1,0.190206,,0.7741136540766412,0
Q4.3,2,0.191784,,0.7761685753529245,0
Q4.3,3,0.197258,,0.7760988902319844,0
Q4.3,4,0.185584,,0.7763300724901085,0
Q4.3,5,0.18421,,0.776012901364047,0
