query,run,seconds,cpu_time,join_share,peak_note
Q1.1,1,0.699213,,0.40038422262378254,0
Q1.1,2,0.136572,,0.23471394189395237,0
Q1.1,3,0.131399,,0.23277422697473307,0
Q1.1,4,0.130529,,0.23085610870548398,0
Q1.1,5,0.131741,,0.23238763129140935,0
Q1.2,1,0.130079,,0.14463895813422403,0
Q1.2,2,0.130048,,0.14590047738314044,0
Q1.2,3,0.130708,,0.14722677485532815,0
Q1.2,4,0.128745,,0.14643982261980265,0
Q1.2,5,0.130521,,0.14856959743036782,0
Q1.3,1,0.129915,,0.14502817934963186,0
Q1.3,2,0.129034,,0.14432562261806003,0
Q1.3,3,0.130223,,0.1425827223424949,0
Q1.3,4,0.130113,,0.14651052335361536,0
Q1.3,5,0.131156,,0.14407413216413034,0
Q2.1,1,0.50434,,0.8819038400913005,0
Q2.1,2,0.161775,,0.7984428376620852,0
Q2.1,3,0.160451,,0.8072892530088264,0
Q2.1,4,0.162018,,0.8147598304563327,0
Q2.1,5,0.171553,,0.8145350995198303,0
Q2.2,1,0.160438,,0.8492135492061885,0
Q2.2,2,0.157437,,0.8402491346183996,0
Q2.2,3,0.158241,,0.8469128536419069,0
Q2.2,4,0.147791,,0.8458180810029706,0
Q2.2,5,0.157188,,0.8456480568247134,0
Q2.3,1,0.111577,,0.8117077634690029,0
Q2.3,2,0.114833,,0.8068077131532249,0
Q2.3,3,0.120919,,0.8138571778394941,0
Q2.3,4,0.114831,,0.8006111028795229,0
Q2.3,5,0.112179,,0.8006723335366526,0
Q3.1,1,0.444456,,0.8113104620428162,0
Q3.1,2,0.358351,,0.7939577833267893,0
Q3.1,3,0.349226,,0.7938363092859612,0
Q3.1,4,0.343501,,0.7953489592412131,0
Q3.1,5,0.35378,,0.7943128028220375,0
Q3.2,1,0.172127,,0.8427521652155644,0
Q3.2,2,0.158801,,0.8411805738578193,0
Q3.2,3,0.153865,,0.8397680959165257,0
Q3.2,4,0.157742,,0.8431165113694616,0
Q3.2,5,0.163649,,0.8408029435822524,0
Q3.3,1,0.109667,,0.7948740330962091,0
Q3.3,2,0.103649,,0.788605724505349,0
Q3.3,3,0.109676,,0.7995658579989188,0
Q3.3,4,0.111645,,0.7953529434014195,0
Q3.3,5,0.107725,,0.8003262078101152,0
Q3.4,1,0.107921,,0.7856256855313238,0
Q3.4,2,0.106858,,0.7882425271245747,0
Q3.4,3,0.11565,,0.7787046081842975,0
Q3.4,4,0.106243,,0.7817179749399179,0
Q3.4,5,0.10984,,0.7864465311844144,0
Q4.1,1,0.483563,,0.8777171920552508,0
Q4.1,2,0.346679,,0.8641781139969527,0
Q4.1,3,0.363846,,0.8641365153043062,0
Q4.1,4,0.354649,,0.8646716169518801,0
Q4.1,5,0.328636,,0.8636901547344359,0
Q4.2,1,0.305328,,0.8517720051953781,0
Q4.2,2,0.314556,,0.8454173590984628,0
Q4.2,3,0.321179,,0.8505515962556283,0
Q4.2,4,0.283889,,0.8507176495944017,0
Q4.2,5,0.302325,,0.8509696082854943,0
Q4.3,1,0.17782,,0.7804962540376191,0
Q4.3,2,0.185911,,0.7813428525103056,0
Q4.3,3,0.199951,,0.768488350033967,0
Q4.3,4,0.202103,,0.7724125392613634,0
Q4.3,5,0.203624,,0.7788656146578432,0
