query,run,seconds,cpu_time,join_share,peak_note
Q1.1,1,0.201792,,0.2285412920230229,0
Q1.1,2,0.181025,,0.2550438055038773,0
Q1.1,3,0.173715,,0.2537984252967082,0
Q1.1,4,0.185793,,0.25438931469129206,0
Q1.1,5,0.182493,,0.2543872412579485,0
Q1.2,1,0.159892,,0.16125832297848633,0
Q1.2,2,0.154103,,0.1600039298177517,0
Q1.2,3,0.155361,,0.1606530269194438,0
Q1.2,4,0.154602,,0.1617231916645191,0
Q1.2,5,0.153079,,0.15906826369590552,0
Q1.3,1,0.151033,,0.15732729243412738,0
Q1.3,2,0.15268,,0.15889470946167097,0
Q1.3,3,0.152755,,0.15917580588495042,0
Q1.3,4,0.151781,,0.15903835184001716,0
Q1.3,5,0.152594,,0.16129186696529124,0
Q2.1,1,0.187693,,0.77922083515966,0
Q2.1,2,0.173881,,0.8086710151350002,0
Q2.1,3,0.159974,,0.7970097754394664,0
Q2.1,4,0.17117,,0.8070434176561205,0
Q2.1,5,0.16054,,0.8059154724823313,0
Q2.2,1,0.160521,,0.8394694664501744,0
Q2.2,2,0.158302,,0.8409305906247764,0
Q2.2,3,0.164782,,0.8397539929909839,0
Q2.2,4,0.161184,,0.8392590105787057,0
Q2.2,5,0.154686,,0.840295189176101,0
Q2.3,1,0.112678,,0.7994548878684377,0
Q2.3,2,0.114696,,0.7955838348079011,0
Q2.3,3,0.112828,,0.7976481113613921,0
Q2.3,4,0.115057,,0.8011739349750081,0
Q2.3,5,0.110608,,0.7953193722134638,0
Q3.1,1,0.409748,,0.8044234102939201,0
Q3.1,2,0.38042,,0.8033808978222446,0
Q3.1,3,0.380292,,0.8039164583024219,0
Q3.1,4,0.378823,,0.803611880367359,0
Q3.1,5,0.412661,,0.8030186291232401,0
Q3.2,1,0.16571,,0.837279791683216,0
Q3.2,2,0.161587,,0.8347223299997614,0
Q3.2,3,0.172414,,0.8353144459104841,0
Q3.2,4,0.157908,,0.832072783542944,0
Q3.2,5,0.167144,,0.8405941444528541,0
Q3.3,1,0.112643,,0.7815070078108607,0
Q3.3,2,0.118026,,0.784960630324491,0
Q3.3,3,0.111227,,0.786774692427015,0
Q3.3,4,0.113354,,0.7814884118517563,0
Q3.3,5,0.109281,,0.7836839892840424,0
Q3.4,1,0.112517,,0.7654479983821404,0
Q3.4,2,0.107801,,0.7727018343418707,0
Q3.4,3,0.110543,,0.7680640459320608,0
Q3.4,4,0.109793,,0.773821870767017,0
Q3.4,5,0.119587,,0.7808328028684455,0
Q4.1,1,0.420203,,0.8615749366951573,0
Q4.1,2,0.39749,,0.8589363822874526,0
Q4.1,3,0.413059,,0.8601118382222261,0
Q4.1,4,0.420853,,0.8595725302007061,0
Q4.1,5,0.417506,,0.8589388515425785,0
Q4.2,1,0.356262,,0.8401785390307474,0
Q4.2,2,0.321154,,0.838995507036682,0
Q4.2,3,0.334115,,0.837600115322402,0
Q4.2,4,0.316721,,0.838066917935408,0
Q4.2,5,0.335107,,0.8377075306462498,0
Q4.3,1,0.207232,,0.7725995152310893,0
Q4.3,2,0.200546,,0.7683150674325538,0
Q4.3,3,0.196388,,0.7704356114056843,0
Q4.3,4,0.202447,,0.7709607483812628,0
Q4.3,5,0.207332,,0.7729748810635282,0
