query,run,seconds,cpu_time,join_share,peak_note
Q1.1,1,0.214426,,0.2513663987937323,0
Q1.1,2,0.183456,,0.2531189770825994,0
Q1.1,3,0.179526,,0.253402563440288,0
Q1.1,4,0.173264,,0.25260947747345,0
Q1.1,5,0.178841,,0.2506710060365718,0
Q1.2,1,0.158387,,0.16007124960806318,0
Q1.2,2,0.151176,,0.1602255264284614,0
Q1.2,3,0.151102,,0.1608284522290577,0
Q1.2,4,0.152794,,0.16012425684018222,0
Q1.2,5,0.152887,,0.161052220638614,0
Q1.3,1,0.149855,,0.1594251698738642,0
Q1.3,2,0.150519,,0.15836226024451444,0
Q1.3,3,0.152534,,0.15996081151688188,0
Q1.3,4,0.149314,,0.16137637366025726,0
Q1.3,5,0.150398,,0.15852013499846485,0
Q2.1,1,0.185933,,0.7577426448453463,0
Q2.1,2,0.167371,,0.803159157058175,0
Q2.1,3,0.16328,,0.8021864014196691,0
Q2.1,4,0.171077,,0.8090936903463136,0
Q2.1,5,0.162401,,0.8036693707566672,0
Q2.2,1,0.174624,,0.8366362447244972,0
Q2.2,2,0.166405,,0.8410347225665701,0
Q2.2,3,0.167201,,0.837465771643383,0
Q2.2,4,0.293139,,0.8367821168280212,0
Q2.2,5,0.183116,,0.8368532481770821,0
Q2.3,1,0.74217,,0.8123031939030473,0
Q2.3,2,0.152074,,0.7995192958835012,0
Q2.3,3,0.118632,,0.8004772770600724,0
Q2.3,4,0.116726,,0.7992987178585925,0
Q2.3,5,0.115569,,0.7942977931526773,0
Q3.1,1,0.395919,,0.8021627817502496,0
Q3.1,2,0.400614,,0.8026079665821864,0
Q3.1,3,0.38652,,0.8032739830473223,0
Q3.1,4,0.404853,,0.8013310737182427,0
Q3.1,5,0.387729,,0.8041783548362816,0
Q3.2,1,0.165501,,0.8357912878274255,0
Q3.2,2,0.1605,,0.8321334650819823,0
Q3.2,3,0.174907,,0.837945285636367,0
Q3.2,4,0.167676,,0.8327221278270863,0
Q3.2,5,0.168698,,0.8374418501099992,0
Q3.3,1,0.112845,,0.7807251182153583,0
Q3.3,2,0.109875,,0.7855114035909331,0
Q3.3,3,0.116503,,0.7872302399230842,0
Q3.3,4,0.124736,,0.791868904584162,0
Q3.3,5,0.116156,,0.7921974127088525,0
Q3.4,1,0.122043,,0.7767980470199627,0
Q3.4,2,0.119866,,0.7700592017376001,0
Q3.4,3,0.108468,,0.7654513826688478,0
Q3.4,4,0.106738,,0.7622015634142244,0
Q3.4,5,0.109539,,0.7704429420513856,0
Q4.1,1,0.423879,,0.860458694625178,0
Q4.1,2,0.420986,,0.8585638600262285,0
Q4.1,3,0.422796,,0.8581236798567333,0
Q4.1,4,0.422528,,0.8588807701853329,0
Q4.1,5,0.410499,,0.8591729945891167,0
Q4.2,1,0.346521,,0.8381250770842865,0
Q4.2,2,0.342609,,0.8348595183371577,0
Q4.2,3,0.328111,,0.8352646099079695,0
Q4.2,4,0.35359,,0.8375561927934077,0
Q4.2,5,0.3446,,0.8367585693679537,0
Q4.3,1,0.201303,,0.7705449537518556,0
Q4.3,2,0.20244,,0.769602153412779,0
Q4.3,3,0.204513,,0.7663144867314645,0
Q4.3,4,0.197617,,0.765577118090558,0
Q4.3,5,0.201337,,0.7674229579676223,0
